타임스탬프,1-1. 연령대,1-2. 현재 신분,2-1. 본인은 응급실을 이용해본 경험이 있습니까?,2-2 응급실을 이용하게 된 상황은 무엇이었습니까? (복수 선택 가능),2-3. 응급실 방문 과정에서 병원을 찾기 어려웠던 경험이 있습니까?,"2-4. 응급 상황 당시, 어떤 방식으로 정보를 탐색했습니까? (복수 선택 가능)",2-5. 응급실 수용 거부 또는 이른바 “응급실 뺑뺑이”와 유사한 상황을 경험한 적이 있습니까?  ,3-1. “응급실 뺑뺑이” 문제가 사회적으로 심각하다고 생각하십니까?  ,3-2. 응급 상황에서 가장 부족하다고 느끼는 정보는 무엇이라고 생각하십니까?  ,4-1. 다음 공공 응급의료 앱을 알고 있습니까?  ,4-2. 해당 앱을 실제 사용해본 경험이 있습니까?  ,4-3. 사용하지 않았다면 가장 큰 이유는 무엇입니까?  ,4-4. 공공 응급의료 앱에 추가되었으면 하는 기능은 무엇입니까? (복수 선택 가능) ,5-1. 응급 상황에서 가장 중요하다고 생각하는 것은 무엇입니까?  ,5-2. 응급의료 시스템 개선을 위해 필요하다고 생각하는 점이 있다면 자유롭게 작성해주세요.  
2026. 5. 19 오후 5:48:25,20대,대학생,예,사고/부상,아니오,119 문의,뉴스로만 접했다,매우 그렇다,이송 가능 여부,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 진료 가능 여부, 119 연계 기능",,
2026. 5. 19 오후 5:49:51,20대,대학생,아니오,,,,,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내, 응급처치 정보 제공",,
2026. 5. 19 오후 5:51:08,20대,대학생,예,고열 및 질병,아니오,가족/지인에게 연락,겪어본 적 없다,전혀 그렇지 않다,"선동하는 정부,정치적 도구로 전락한 '응급실 뺑뺑이'",둘 다 모른다,처음 알았다,정보 신뢰도가 낮을 것 같다,"응급처치 정보 제공, 119 연계 기능",,
2026. 5. 19 오후 5:51:43,20대,대학생,아니오,,,,,그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,필요성을 느끼지 못했다,"응급실 혼잡도 표시, 현재 위치 기반 가장 가까운 병원 안내",환자의 상태,응급실 환경에 대한 처우를 좀 더 좋게 해줬으면 합니다
2026. 5. 19 오후 5:58:06,20대,대학생,아니오,,,,,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,진료 가능 여부,신속한 진료,애초에 전문의부터 늘려야 함
2026. 5. 19 오후 6:10:04,20대,대학생,예,사고/부상,아니오,119 문의,뉴스로만 접했다,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,진료 가능 여부,신속한 조치,
2026. 5. 19 오후 6:42:27,20대,대학생,아니오,,,,,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부",,
2026. 5. 19 오후 7:12:00,20대,대학생,아니오,,,,,매우 그렇다,전문의 유무,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내, 응급처치 정보 제공, 119 연계 기능",,
2026. 5. 19 오후 8:48:22,20대,대학생,예,"사고/부상, 고열 및 질병",아니오,가족/지인에게 연락,뉴스로만 접했다,보통이다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,AI 기반 병원 추천,,
2026. 5. 19 오후 9:20:01,20대,대학생,아니오,,,,,그렇다,응급실 혼잡도,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 119 연계 기능",,
2026. 5. 19 오후 10:58:58,20대,대학생,아니오,,,,,보통이다,대기 시간,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,진료 가능 여부,"응급 조치, 빠른 진료.",
2026. 5. 20 오후 3:59:06,20대,대학생,아니오,,,,,그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, AI 기반 병원 추천, 현재 위치 기반 가장 가까운 병원 안내, 응급처치 정보 제공, 119 연계 기능",,
2026. 5. 29 오전 11:31:02,20대,대학생,아니오,,,,,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내, 응급처치 정보 제공, 119 연계 기능",응급처지 정보,
2026. 5. 29 오전 11:38:23,20대,대학생,아니오,,,,,매우 그렇다,이송 가능 여부,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, AI 기반 병원 추천",,
2026. 5. 29 오후 12:02:32,10대,대학생,아니오,,,,,그렇다,대기 시간,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시",,
2026. 5. 29 오후 12:40:15,20대,대학생,예,갑작스러운 통증,아니오,"가족/지인에게 연락, 지도 앱 검색",뉴스로만 접했다,매우 그렇다,응급실 혼잡도,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내",신속하고 빠른 처치,응급실과 병상을 더 늘려야함
2026. 5. 29 오후 12:59:06,20대,대학생,아니오,,,,,매우 그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 현재 위치 기반 가장 가까운 병원 안내",빠르게 진료 받는 것,응급실을 운영하는 2차 병원이 많아져야한다고 생각함
2026. 5. 29 오후 2:00:34,20대,대학생,아니오,,,,,그렇다,현재 진료 가능한 병원 정보,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 응급실 혼잡도 표시, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내",빠른 대처,
2026. 5. 29 오후 3:18:30,20대,대학생,예,"갑작스러운 통증, 고열 및 질병",아니오,지도 앱 검색,뉴스로만 접했다,그렇다,전문의 유무,둘 다 모른다,처음 알았다,앱 존재를 몰랐다,"실시간 병상 현황, 진료 가능 여부, 현재 위치 기반 가장 가까운 병원 안내",,
